Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
2,PITT,11,0.6363636363636364,0.6,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
2,SBL,6,0.5,0.5555555555555556,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
2,SDSU,7,0.7142857142857143,0.8333333333333334,0.75,1.0,0.5,2,2,0,3
2,STANFORD,8,0.375,0.625,0.5454545454545454,0.75,0.0,0,4,1,3
2,TRINITY,10,0.9,1.0,0.9090909090909091,1.0,0.8,4,1,0,5
2,UCLA,19,0.5263157894736842,0.6388888888888888,0.6086956521739131,0.7,0.3333333333333333,3,6,3,7
2,UM,28,0.5714285714285714,0.7384615384615385,0.6666666666666666,0.9230769230769231,0.26666666666666666,4,11,1,12
2,USM,14,0.8571428571428571,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8,4,1,1,8
2,YALE,12,0.5,0.6111111111111112,0.5,0.5,0.5,3,3,3,3
3,CALTECH,6,0.5,0.4444444444444445,0.5714285714285714,0.6666666666666666,0.3333333333333333,1,2,1,2
3,CMU,6,0.6666666666666666,0.5555555555555556,0.75,1.0,0.3333333333333333,1,2,0,3
3,KKI,10,0.4,0.5416666666666667,0.4,0.5,0.3333333333333333,2,4,2,2
3,LEUVEN,13,0.6923076923076923,0.5952380952380952,0.6666666666666666,0.6666666666666666,0.7142857142857143,5,2,2,4
3,MAX_MUN,10,0.8,0.8400000000000001,0.8333333333333334,1.0,0.6,3,2,0,5
3,NYU,35,0.5142857142857142,0.6833333333333333,0.5853658536585366,0.8,0.3,6,14,3,12
3,OHSU,6,0.6666666666666666,0.888888888888889,0.5,0.3333333333333333,1.0,3,0,2,1
3,OLIN,7,0.5714285714285714,0.9166666666666667,0.7272727272727273,1.0,0.0,0,3,0,4
3,PITT,12,0.6666666666666666,0.6944444444444446,0.6,0.5,0.8333333333333334,5,1,3,3
3,SBL,6,0.6666666666666666,1.0,0.75,1.0,0.3333333333333333,1,2,0,3
3,SDSU,6,0.5,0.75,0.4,0.5,0.5,2,2,1,1
3,STANFORD,8,0.5,0.375,0.6666666666666666,1.0,0.0,0,4,0,4
3,TRINITY,9,0.5555555555555556,0.6000000000000001,0.6,0.75,0.4,2,3,1,3
3,UCLA,20,0.8,0.8282828282828283,0.8461538461538461,1.0,0.5555555555555556,5,4,0,11
3,UM,27,0.5925925925925926,0.6593406593406594,0.6857142857142857,0.9230769230769231,0.2857142857142857,4,10,1,12
3,USM,14,0.5714285714285714,0.5333333333333333,0.625,0.5555555555555556,0.6,3,2,4,5
3,YALE,12,0.4166666666666667,0.3472222222222222,0.46153846153846156,0.5,0.3333333333333333,2,4,3,3
4,CALTECH,8,0.25,0.375,0.25,0.25,0.25,1,3,3,1
4,CMU,6,1.0,1.0,1.0,1.0,1.0,3,0,0,3
4,KKI,10,0.4,0.4166666666666667,0.5714285714285714,1.0,0.0,0,6,0,4
4,LEUVEN,13,0.38461538461538464,0.4523809523809524,0.2,0.16666666666666666,0.5714285714285714,4,3,5,1
4,MAX_MUN,9,0.3333333333333333,0.4,0.4,0.5,0.2,1,4,2,2
4,NYU,35,0.7428571428571429,0.8066666666666668,0.7428571428571429,0.8666666666666667,0.65,13,7,2,13
4,OHSU,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1,2,3,0
4,OLIN,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1,2,3,0
